Locality,Minimum_elevation_in_meters,Maximum_elevation_in_meters,Decimal_latitude,Decimal_longitude,Coordinate_uncertainty_in_meters,Coords_uncertainty_description,Coords_source,Locus,latitude,longitude,precision,precby
"1 km W. of entrance gate, Royal Natal National Park",,,-28.62,28.87,,centroid of 15x15 minute grid (QDS),,2828DB,,,,johaadienr
"2.5 km SSE of Glen Reenen Caravan Park, Golden Gate Highlands National Park",,,-28.52,28.62,,"degree, minute and integer second",,2828DA,,,,johaadienr
Alex Pan Farm; about 30km NE of Harrismith; found in the grasslands,,,-28.15,29.3,,0-250 m,,2829AB,,,,johaadienr
"Basutho Hill above Wilge Park, Harrismith",,,-28.29,29.11,,"degree, minute and integer second",,2829AC,,,,johaadienr
Beacon Buttress at top of Sentinel Gully,,,-28.74,28.89,,"degree, minute and integer second",,2828DB,,,,johaadienr
below Sentinel Rd ~500m before Sentinel trail carpark,,,-28.72,28.89,,"degree, minute and integer second",,2828DB,,,,johaadienr
Bethlehem,,,-28.12,28.12,,centroid of 15x15 minute grid (QDS),,2828AA,,,,johaadienr
Betlehem.,,,-28,28,,"degree, minute and integer second",,2828AA,,,,johaadienr
Blesbok Loop,,,-28.62,28.52,,"degree, minute and integer second",,2828DA,,,,johaadienr
BLOEMFONTEIN,,,-29.12,26.12,,centroid of 15x15 minute grid (QDS),,2926AA,,,,johaadienr
Chain ladders,,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
"Chain ladders, Middle Stage",,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
Chartworth 388,,,-28.22,29.52,,0-250 m,,2829BA,,,,johaadienr
Cliffs around Sentinel Cave,,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
"Drakensberg, Western Slope",,,-28.62,28.87,,centroid of 15x15 minute grid (QDS),,2828DB,,,,johaadienr
EVENSTON A (115),,,-28.12,27.37,,centroid of 15x15 minute grid (QDS),,2827AB,,,,johaadienr
FARM ALLANVALE (249),,,-27.62,29.62,,centroid of 15x15 minute grid (QDS),,2729DA,,,,johaadienr
FARM ARCADIA (187),,,-27.87,28.12,,centroid of 15x15 minute grid (QDS),,2728CC,,,,johaadienr
FARM BACHELOR'S HOME (800),,,-28.12,29.62,,centroid of 15x15 minute grid (QDS),,2829BA,,,,johaadienr
FARM BERGKLOOF (203),,,-30.37,27.12,,centroid of 15x15 minute grid (QDS),,3027AC,,,,johaadienr
FARM BERLIN (497),,,-27.12,29.12,,centroid of 15x15 minute grid (QDS),,2729AA,,,,johaadienr
FARM BETHEL (6),,,-28.12,27.62,,centroid of 15x15 minute grid (QDS),,2827BA,,,,johaadienr
FARM BIDDULPHSBERG (9),,,-28.37,27.87,,centroid of 15x15 minute grid (QDS),,2827BD,,,,johaadienr
FARM BON HAVEN (1692),,,-28.37,29.12,,centroid of 15x15 minute grid (QDS),,2829AC,,,,johaadienr
Farm Boundary Slopes 11081; Free State-KwaZulu-Natal boundary,,,-28.24,29.61,,0-250 m,,2829BA,,,,johaadienr
FARM BRAUNZIJNKOP (1126),,,-27.87,26.87,,centroid of 15x15 minute grid (QDS),,2726DD,,,,johaadienr
FARM BROCKENHURST (273),,,-27.87,27.62,,centroid of 15x15 minute grid (QDS),,2727DC,,,,johaadienr
FARM CAMPEN (308),,,-28.37,29.37,,centroid of 15x15 minute grid (QDS),,2829AD,,,,johaadienr
FARM CARLIE (555),,,-28.12,26.87,,centroid of 15x15 minute grid (QDS),,2826BB,,,,johaadienr
FARM DEALBATA (363),,,-27.87,28.62,,centroid of 15x15 minute grid (QDS),,2728DC,,,,johaadienr
FARM DOORNLAND (649),,,-27.62,27.37,,centroid of 15x15 minute grid (QDS),,2727CB,,,,johaadienr
FARM ELANDSFONTEIN (990),,,-27.87,28.12,,centroid of 15x15 minute grid (QDS),,2728CC,,,,johaadienr
FARM FRANCINA (680),,,-30.62,27.12,,centroid of 15x15 minute grid (QDS),,3027CA,,,,johaadienr
FARM FRASERSPRUIT (94),,,-28.37,29.12,,centroid of 15x15 minute grid (QDS),,2829AC,,,,johaadienr
FARM GOEDETROUW (456),,,-27.87,28.37,,centroid of 15x15 minute grid (QDS),,2728CD,,,,johaadienr
FARM GROOTKRANS (71),,,-27.62,27.87,,centroid of 15x15 minute grid (QDS),,2727DB,,,,johaadienr
FARM HEBRON (674),,,-30.12,26.37,,centroid of 15x15 minute grid (QDS),,3026AB,,,,johaadienr
Farm Heine,,,-27.33,28.35,,degree and integer minute,,2728AD,,,,johaadienr
FARM HOOGEVELD (2439),,,-27.87,27.12,,centroid of 15x15 minute grid (QDS),,2727CC,,,,johaadienr
FARM HOUTKOP (326),,,-27.37,27.62,,centroid of 15x15 minute grid (QDS),,2727BC,,,,johaadienr
FARM KALKOENKRANS (280),,,-28.12,28.87,,centroid of 15x15 minute grid (QDS),,2828BB,,,,johaadienr
Farm Klawervlei,,,-28.55,29.05,,degree and integer minute,,2829CA,,,,johaadienr
FARM KLIPPLAAT (380),,,-27.37,28.87,,centroid of 15x15 minute grid (QDS),,2728BD,,,,johaadienr
FARM LANGEHOEK (352),,,-28.12,29.37,,centroid of 15x15 minute grid (QDS),,2829AB,,,,johaadienr
FARM LANQUEDOC (1179),,,-27.62,28.12,,centroid of 15x15 minute grid (QDS),,2728CA,,,,johaadienr
farm Leeuwkuil; Odendaalsrus district,,,-27.69,26.76,,0-250 m,,2726DB,,,,johaadienr
FARM LOSKOP (819),,,-28.12,28.37,,centroid of 15x15 minute grid (QDS),,2828AB,,,,johaadienr
FARM LOUIS RUST (1973),,,-28.12,28.12,,centroid of 15x15 minute grid (QDS),,2828AA,,,,johaadienr
FARM MACHBELA (595),,,-27.87,29.37,,centroid of 15x15 minute grid (QDS),,2729CD,,,,johaadienr
FARM MECKLENBURG (64),,,-27.87,28.87,,centroid of 15x15 minute grid (QDS),,2728DD,,,,johaadienr
FARM MOOIGELEGEN (863),,,-28.12,28.87,,centroid of 15x15 minute grid (QDS),,2828BB,,,,johaadienr
FARM MORGENZON (370),,,-27.87,29.12,,centroid of 15x15 minute grid (QDS),,2729CC,,,,johaadienr
FARM OORSPRONG (135),,,-27.12,27.87,,centroid of 15x15 minute grid (QDS),,2727BB,,,,johaadienr
FARM PERTH (1084),,,-28.37,29.12,,centroid of 15x15 minute grid (QDS),,2829AC,,,,johaadienr
FARM QUAGGASPRUIT (115),,,-27.62,27.62,,centroid of 15x15 minute grid (QDS),,2727DA,,,,johaadienr
FARM RAMBOUILLET (396),,,-27.87,27.87,,centroid of 15x15 minute grid (QDS),,2727DD,,,,johaadienr
FARM ROHALLION (280),,,-29.62,27.12,,centroid of 15x15 minute grid (QDS),,2927CA,,,,johaadienr
FARM RONDEBULD (193),,,-28.12,28.12,,centroid of 15x15 minute grid (QDS),,2828AA,,,,johaadienr
FARM RUSTHOF (17),,,-27.37,28.12,,centroid of 15x15 minute grid (QDS),,2728AC,,,,johaadienr
FARM SPIJTFONTEIN (639),,,-27.62,26.87,,centroid of 15x15 minute grid (QDS),,2726DB,,,,johaadienr
FARM STOFFELFONTEIN (407),,,-28.12,27.87,,centroid of 15x15 minute grid (QDS),,2827BB,,,,johaadienr
FARM TAFELBERG (815),,,-28.12,29.12,,centroid of 15x15 minute grid (QDS),,2829AA,,,,johaadienr
FARM THREE FOUNTAINS (269),,,-28.37,29.12,,centroid of 15x15 minute grid (QDS),,2829AC,,,,johaadienr
FARM TRIANGLE (254),,,-28.12,27.37,,centroid of 15x15 minute grid (QDS),,2827AB,,,,johaadienr
FARM UITZICHT (630),,,-28.12,28.87,,centroid of 15x15 minute grid (QDS),,2828BB,,,,johaadienr
FARM VAALBANK (135),,,-27.87,26.62,,centroid of 15x15 minute grid (QDS),,2726DC,,,,johaadienr
FARM VERDUN (617),,,-27.62,28.62,,centroid of 15x15 minute grid (QDS),,2728DA,,,,johaadienr
FARM WOLVENFONTEIN (256),,,-27.12,28.12,,centroid of 15x15 minute grid (QDS),,2728AA,,,,johaadienr
FARM WOUDZICHT (492),,,-27.62,28.87,,centroid of 15x15 minute grid (QDS),,2728DB,,,,johaadienr
FARM ZWARTKOPPIES (520),,,-27.37,28.37,,centroid of 15x15 minute grid (QDS),,2728AD,,,,johaadienr
"Free State, Drakensberg, Mont Pierre Forest, Golden Gate NP",,,-28.53,28.65,,"degree, minute and integer second",,2828DA,,,,johaadienr
"GATEMAN'S QUARTERS, STERKFONTEIN DAM N.R.",,,-28.33,29.08,,degree and integer minute,,2829AC,,,,johaadienr
GOLDEN GATE HIGHLANDS NP,,,-28.62,28.62,,centroid of 15x15 minute grid (QDS),,2828DA,,,,johaadienr
GOLDEN GATE HIGLANDS NP,,,-28.37,28.62,,centroid of 15x15 minute grid (QDS),,2828BC,,,,johaadienr
Golden Gate National Park,,,-28.51,28.65,,0-250 m,,2828DA,,,,johaadienr
Greywille nr Alex Pan,,,-28.13,29.28,,"degree, minute and integer second",,2829AB,,,,johaadienr
Harrismith,,,,,,,,,,,,johaadienr
"Heilbron, 10 KM N",,,-27.28,27.96,,degree and integer minute,,2727BD,,,,johaadienr
Just below Sentinel Rd,,,-28.72,28.89,,"degree, minute and integer second",,2828DB,,,,johaadienr
Kgotswane Gorge,,,-28.6,28.78,,degree and integer minute,,2828DB,,,,johaadienr
"Koningsdal farm, 20 km SSE of Memel, E. Free State",,,-27.86,29.51,,0-250 m,,2729DC,,,,johaadienr
KRISTALPAN ON FARM WONDERHOEK (1698),,,-28.48,28.5,,degree and integer minute,,2828BC,,,,johaadienr
Kroonstad,,,-27.66,27.23,,degree and integer minute,,2727CA,,,,johaadienr
"Kroonstadt, farm Geluk",,,-27.62,27.37,,centroid of 15x15 minute grid (QDS),,2727CB,,,,johaadienr
Lindley,,,-27.87,27.87,,centroid of 15x15 minute grid (QDS),,2727DD,,,,johaadienr
Lindley dist.,,,-27.88,27.91,,degree and integer minute,,2727DD,,,,johaadienr
Manyenyeza,,,-28.41,29.25,,"degree, minute and integer second",,2829AD,,,,johaadienr
Middle stage of Chain Ladders,,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
"MONONTSA PASS, WITZIESHOEK",,,-28.62,28.87,,centroid of 15x15 minute grid (QDS),,2828DB,,,,johaadienr
Mont Pierre,,,-28.53,28.65,,"degree, minute and integer second",,2828DA,,,,johaadienr
Mont-aux-Sources Chain Ladders,,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
Mount aux Sources,,,-28.76,28.85,,degree and integer minute,,2828DD,,,,johaadienr
"Mount aux Sources, Drakensberg Mnt.",,,-28.87,28.87,,centroid of 15x15 minute grid (QDS),,2828DD,,,,johaadienr
"MOUNT PIER, GOLDEN GATE HIGHLANDS NP",,,-28.53,28.65,,degree and integer minute,,2828DA,,,,johaadienr
"Mountain View, Harrismith",,,-28.34,29.13,,"degree, minute and integer second",,2829AC,,,,johaadienr
Namahali Pass near top of main escarpment,,,-28.75,28.86,,"degree, minute and integer second",,2828DD,,,,johaadienr
"NEAR MT PIERRE,GOLDEN GATE HIGHLANDS NP",,,-28.37,28.62,,centroid of 15x15 minute grid (QDS),,2828DA,,,,johaadienr
"Near Tiger Falls, Royal Natal National Park",,,-28.62,28.87,,centroid of 15x15 minute grid (QDS),,2828DB,,,,johaadienr
"near Wilge Park, Harrismith",,,-28.28,29.12,,"degree, minute and integer second",,2829AC,,,,johaadienr
Nelson's Kop,,,-28.23,29.44,,"degree, minute and integer second",,2829AB,,,,johaadienr
Odendaalsrus region,,,-27.87,26.62,,centroid of 15x15 minute grid (QDS),,2726DC,,,,johaadienr
Odendaalsrust,,,-27.86,26.68,,degree and integer minute,,2726DC,,,,johaadienr
Oliviershoek Pass,,,-28.56,29.05,,0-250 m,,2829CA,,,,johaadienr
On  the farm Zwartkoppies,,,-27.37,28.37,,centroid of 15x15 minute grid (QDS),,2728AD,,,,johaadienr
On road; R712; Golden Gate National Park,,,-28.52,28.65,,0-250 m,,2828DA,,,,johaadienr
"Platberg, Harrismith district",,,-28.24,29.16,,degree and integer minute,,2829CA,,,,johaadienr
R712 300m S of Qwantani Rd,,,-28.39,28.95,,"degree, minute and integer second",,2828BD,,,,johaadienr
"Rabies Gully Pass, Qwaqwa",,,-28.65,28.71,,"degree, minute and integer second",,2828DA,,,,johaadienr
Rd below Mont Pierre,,,-28.53,28.65,,"degree, minute and integer second",,2828DA,,,,johaadienr
"Sentinel Rd, on hill just above Witsieshoek Mountain Resort",,,-28.68,28.89,,"degree, minute and integer second",,2828DB,,,,johaadienr
"Sentinel Trail, at base of Chain Ladders",,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
"Sentinel Trail, Middle Stage of Chain Ladders",,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
"Sentinel Trail, Top of Chain Ladders",,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
"SENTINEL, WITZIESHOEK",,,-28.62,28.87,,centroid of 15x15 minute grid (QDS),,2828DB,,,,johaadienr
Sentinel; Drakensberg,,,-28.73,28.89,,unknown,,2828DB,,,,johaadienr
STERKFONTEIN DAM N.R.,,,-28.62,29.12,,centroid of 15x15 minute grid (QDS),,2829CA,,,,johaadienr
Top of the Chain ladders,,,-28.74,28.88,,"degree, minute and integer second",,2828DB,,,,johaadienr
"TransZenit Truckstop, Warden",,,-27.86,28.96,,"degree, minute and integer second",,2728DD,,,,johaadienr
VAN REENEN'S PASS?,,,-28.37,29.37,,centroid of 15x15 minute grid (QDS),,2829AD,,,,johaadienr
Welkom,,,-27.87,26.62,,centroid of 15x15 minute grid (QDS),,2726DC,,,,johaadienr
Willem Pretorius Nat Res,,,-28.33,27.25,,degree and integer minute,,2827AD,,,,johaadienr
,,,-27.37,29.37,,centroid of 15x15 minute grid (QDS),,2729AD,,,,johaadienr
